# Lista de fotos esperadas para Pedidos Famat
# Colocá cada foto en images/productos/ con el nombre indicado (jpg recomendado).
# También se aceptan .webp o .png si renombrás o ajustás luego.
# Total: 342 productos

repuesto-lampazo-barrendero-100cm.jpg  |  producto  |  LAMPAZO-REPUESTO BARRENDERO  |  Repuesto Lampazo Barrendero 100cm
lampazo-x80cm-barrendero-madera.jpg  |  producto  |  LAMPAZO-REPUESTO BARRENDERO  |  Lampazo x80cm Barrendero MADERA
lampazo-de-hilo-n40.jpg  |  producto  |  LINEA LAMPAZO COMUN  |  Lampazo de hilo n°40
lampazo-azul.jpg  |  producto  |  LINEA LAMPAZO COMUN  |  Lampazo azul
lampazo-pabilo-n-40.jpg  |  producto  |  LINEA LAMPAZO COMUN  |  Lampazo pabilo n 40
limpia-vidrios-esponjas-make-20cm.jpg  |  producto  |  LINEA LIMPIA VIDRIOS  |  Limpia vidrios+esponjas make 20cm
limpia-vidrios-esponjas-make-30cm.jpg  |  producto  |  LINEA LIMPIA VIDRIOS  |  Limpia vidrios+esponjas make 30cm
limpia-vidrios-m-corto.jpg  |  producto  |  LINEA LIMPIA VIDRIOS  |  limpia vidrios M/corto
lustra-muebles-ceramicol.jpg  |  producto  |  LINEA LUSTRA MUEBLES  |  Lustra muebles Ceramicol
lustra-muebles-blem.jpg  |  producto  |  LINEA LUSTRA MUEBLES  |  Lustra Muebles BLEM
mata-mosca-paleta.jpg  |  producto  |  LINEA MATA MOSCA  |  Mata mosca paleta
mata-mosca-manito.jpg  |  producto  |  LINEA MATA MOSCA  |  Mata mosca manito
gillete-prestobarba.jpg  |  producto  |  LINEA MAQUINA AFEITAR  |  Gillete prestobarba
mopa-centrifugo-repuesto.jpg  |  producto  |  LINEA MOPAS  |  Mopa centrifugo repuesto
mopa-pano.jpg  |  producto  |  LINEA MOPAS  |  Mopa paño
mopa-algodon-blanca-gris-mt.jpg  |  producto  |  LINEA MOPAS  |  Mopa algodón blanca-Gris MT
mopa-microfibra.jpg  |  producto  |  LINEA MOPAS  |  Mopa microfibra
pala-c-cabo-mapuche.jpg  |  producto  |  LINEA PALAS BASURA  |  Pala c/cabo Mapuche
pala-cabo-economica-colores.jpg  |  producto  |  LINEA PALAS BASURA  |  Pala cabo economica COLORES
